epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5544,2.01118,3.12917,1.9314,0.00688,0.78476,0.17997,0.05992,2.01973,3.25218,1.84337,0.000547949,0.000547949,0.000547949
2,46.8468,1.74917,2.45968,1.69832,0.33035,0.4581,0.28673,0.13066,1.93467,2.23989,1.726,0.0008851,0.0008851,0.0008851
3,78.0935,1.68574,2.30328,1.65509,0.62358,0.50899,0.5517,0.25768,1.84449,1.97942,1.69573,0.00100221,0.00100221,0.00100221
4,101.517,1.67063,2.13919,1.62848,0.7359,0.52802,0.63359,0.29862,1.62452,2.34977,1.58481,0.000676802,0.000676802,0.000676802
5,124.249,1.6283,2.0745,1.61788,0.47305,0.77333,0.66391,0.35912,1.49662,1.93763,1.43486,0.000346736,0.000346736,0.000346736
